To do this                                                                                                          | Press
Underline the selected text                                                                                         | COMMAND + U
Strike through the selected text                                                                                    | Shift + COMMAND + X
Insert a hyperlink                                                                                                  | Control + COMMAND + K
Move the cursor left one character                                                                                  | Left arrow
Move the cursor right one character                                                                                 | Right arrow
Move the cursor up one line                                                                                         | Up arrow
Move the cursor down one line                                                                                       | Down arrow
Move the cursor to the beginning of the current paragraph                                                           | Option + Up arrow
Move the cursor to the end of the current paragraph                                                                 | Option + Down arrow
Move the cursor to the beginning of the current word                                                                | Option + Left arrow
Move the cursor to the end of the current word                                                                      | Option + Right arrow
Decrease indent                                                                                                     | Delete + Opening brace ( { )
Increase indent                                                                                                     | Delete + Closing brace ( { )
Delete the character to the left of the cursor, or delete the selected text                                         | Delete
Delete the character to the right side of the cursor, or delete the selected text                                   | Delete. If your keyboard doesn't have a Delete key, use FN + Delete.
Insert a tab stop                                                                                                   | Tab
Move the cursor to the beginning of the line                                                                        | COMMAND + Left arrow
Move the cursor to the end of the line                                                                              | COMMAND + Right arrow
Move the cursor to the top of the message body                                                                      | COMMAND + Up arrow
Move the cursor to the bottom of the message body                                                                   | COMMAND + Down arrow
Move the cursor to the beginning of the selected text                                                               | COMMAND + Home
Move the cursor to the end of the selected text                                                                     | COMMAND + End
Scroll up                                                                                                           | Page up
Scroll down                                                                                                         | Page down

Flag the selected item for follow up, with Today as Due Date                                                        | Control + 1
Flag the selected item for follow up, with Tomorrow as Due Date                                                     | Control + 2
Flag the selected item for follow up, with This Week as Due Date                                                    | Control + 3
Flag the selected item for follow up, with Next Week as Due Date                                                    | Control + 4
Flag the selected item for follow up, with No Due Date                                                              | Control + 5
Flag the selected item for follow up, and add a custom Due Date                                                     | Control + 6
Flag the selected item for follow up, and add a reminder                                                            | Control + Equal sign ( = )
Mark the selected item as Complete                                                                                  | Control + Zero ( 0 )
Clear the selected item's follow-up flag                                                                            | Option + COMMAND + Apostrophe ( ' )
